t,z(t),v(t),F(t) (added)
0.02,-1.86,0,186
0.04,-1.859256,0.0372,185.9256
0.06,-1.857768,0.07438512,185.7768
0.08,-1.855538,0.1115405,185.5538
0.09999999,-1.852564,0.1486512,185.2564
0.12,-1.84885,0.1857025,184.885
0.14,-1.844397,0.2226795,184.4397
0.16,-1.839206,0.2595675,183.9205
0.18,-1.833278,0.2963516,183.3278
0.2,-1.826618,0.3330171,182.6618
0.22,-1.819227,0.3695495,181.9227
0.24,-1.811108,0.4059341,181.1108
0.26,-1.802265,0.4421562,180.2265
0.28,-1.792701,0.4782015,179.2701
0.3,-1.78242,0.5140556,178.242
0.32,-1.771426,0.549704,177.1426
0.34,-1.759724,0.5851325,175.9724
0.36,-1.747317,0.6203269,174.7317
0.38,-1.734211,0.6552733,173.4211
0.4,-1.720412,0.6899575,172.0412
0.42,-1.705925,0.7243658,170.5925
0.4400001,-1.690755,0.7584842,169.0755
0.4600001,-1.674909,0.7922993,167.4909
0.4800001,-1.658393,0.8257975,165.8393
0.5000001,-1.641214,0.8589653,164.1214
0.52,-1.623378,0.8917896,162.3378
0.54,-1.604893,0.9242572,160.4893
0.56,-1.585766,0.956355,158.5766
0.58,-1.566005,0.9880704,156.6004
0.6,-1.545617,1.01939,154.5617
0.6199999,-1.524611,1.050303,152.4611
0.6399999,-1.502995,1.080795,150.2995
0.6599999,-1.480778,1.110855,148.0778
0.6799999,-1.457968,1.14047,145.7968
0.6999999,-1.434576,1.16963,143.4576
0.7199998,-1.410609,1.198321,141.0609
0.7399998,-1.386079,1.226533,138.6079
0.7599998,-1.360994,1.254255,136.0993
0.7799998,-1.335364,1.281475,133.5364
0.7999998,-1.3092,1.308182,130.92
0.8199998,-1.282513,1.334366,128.2513
0.8399997,-1.255313,1.360016,125.5313
0.8599997,-1.22761,1.385123,122.761
0.8799997,-1.199417,1.409675,119.9417
0.8999997,-1.170743,1.433663,117.0743
0.9199997,-1.141602,1.457078,114.1602
0.9399996,-1.112004,1.47991,111.2004
0.9599996,-1.081961,1.50215,108.1961
0.9799996,-1.051485,1.523789,105.1485
0.9999996,-1.020589,1.544819,102.0589
1.02,-0.9892839,1.565231,98.92839
1.04,-0.9575836,1.585016,95.75836
1.06,-0.9255003,1.604168,92.55003
1.08,-0.8930467,1.622678,89.30467
1.1,-0.8602359,1.640539,86.02359
1.12,-0.8270811,1.657744,82.70811
1.14,-0.7935954,1.674285,79.35954
1.159999,-0.7597922,1.690157,75.97922
1.179999,-0.7256851,1.705353,72.56851
1.199999,-0.6912878,1.719867,69.12878
1.219999,-0.6566139,1.733693,65.66139
1.239999,-0.6216774,1.746825,62.16774
1.259999,-0.5864922,1.759259,58.64922
1.279999,-0.5510725,1.770988,55.10725
1.299999,-0.5154323,1.78201,51.54323
1.319999,-0.4795859,1.792318,47.9586
1.339999,-0.4435478,1.80191,44.35477
1.359999,-0.4073321,1.810781,40.73321
1.379999,-0.3709536,1.818928,37.09536
1.399999,-0.3344266,1.826347,33.44266
1.419999,-0.2977659,1.833035,29.77659
1.439999,-0.2609861,1.838991,26.09861
1.459999,-0.2241019,1.84421,22.41019
1.479999,-0.187128,1.848692,18.7128
1.499999,-0.1500793,1.852435,15.00793
1.519999,-0.1129706,1.855437,11.29706
1.539999,-0.07581669,1.857696,7.581669
1.559999,-0.03863245,1.859212,3.863245
1.579999,-0.001432747,1.859985,0.1432747
1.599999,0.03576752,1.860013,-3.576752
1.619999,0.07295348,1.859298,-7.295348
1.639999,0.1101103,1.857839,-11.01103
1.659999,0.147223,1.855637,-14.7223
1.679999,0.1842768,1.852692,-18.42768
1.699999,0.221257,1.849007,-22.1257
1.719999,0.2581486,1.844582,-25.81486
1.739999,0.294937,1.839419,-29.4937
1.759999,0.3316074,1.83352,-33.16074
1.779999,0.3681451,1.826888,-36.81451
1.799999,0.4045357,1.819525,-40.45356
